	<yagoTheme_yagoWordnetIds>	<hasGloss>	"This file is part of the ontology YAGO3. It is licensed under a Creative-Commons Attribution License by the YAGO team at the Max Planck Institute for Informatics/Germany. See http://yago-knowledge.org for all details. This file was generated on 2017-10-11 T 23:50:16.0962. Mappings of the WordNet-based YAGO classes to the ids of WordNet LINK"	
	<wordnet_implementation_100044150>	<hasSynsetId>	"100044150"	
	<wordnet_egress_100044455>	<hasSynsetId>	"100044455"	
	<wordnet_equalization_100044673>	<hasSynsetId>	"100044673"	
	<wordnet_exhumation_100044900>	<hasSynsetId>	"100044900"	
	<wordnet_mitzvah_100045114>	<hasSynsetId>	"100045114"	
	<wordnet_propulsion_100045250>	<hasSynsetId>	"100045250"	
	<wordnet_rally_100045646>	<hasSynsetId>	"100045646"	
	<wordnet_recovery_100045907>	<hasSynsetId>	"100045907"	
	<wordnet_running_away_100046177>	<hasSynsetId>	"100046177"	
	<wordnet_stunt_100046344>	<hasSynsetId>	"100046344"	
	<wordnet_touch_100046522>	<hasSynsetId>	"100046522"	
	<wordnet_tour_de_force_100047018>	<hasSynsetId>	"100047018"	
	<wordnet_performance_100047106>	<hasSynsetId>	"100047106"	
	<wordnet_overachievement_100047356>	<hasSynsetId>	"100047356"	
	<wordnet_underachievement_100047550>	<hasSynsetId>	"100047550"	
	<wordnet_record_100047745>	<hasSynsetId>	"100047745"	
	<wordnet_fait_accompli_100047941>	<hasSynsetId>	"100047941"	
	<wordnet_going_100048051>	<hasSynsetId>	"100048051"	
	<wordnet_arrival_100048225>	<hasSynsetId>	"100048225"	
	<wordnet_arrival_100048374>	<hasSynsetId>	"100048374"	
	<wordnet_attainment_100048656>	<hasSynsetId>	"100048656"	
	<wordnet_advent_100048828>	<hasSynsetId>	"100048828"	
	<wordnet_entrance_100049003>	<hasSynsetId>	"100049003"	
	<wordnet_incursion_100049344>	<hasSynsetId>	"100049344"	
	<wordnet_intrusion_100049530>	<hasSynsetId>	"100049530"	
	<wordnet_irruption_100049636>	<hasSynsetId>	"100049636"	
	<wordnet_entree_100049789>	<hasSynsetId>	"100049789"	
	<wordnet_entail_100049909>	<hasSynsetId>	"100049909"	
	<wordnet_registration_100050037>	<hasSynsetId>	"100050037"	
	<wordnet_appearance_100050195>	<hasSynsetId>	"100050195"	
	<wordnet_apparition_100050484>	<hasSynsetId>	"100050484"	
	<wordnet_emergence_100050693>	<hasSynsetId>	"100050693"	
	<wordnet_reappearance_100050887>	<hasSynsetId>	"100050887"	
	<wordnet_comeback_100051077>	<hasSynsetId>	"100051077"	
	<wordnet_return_100051192>	<hasSynsetId>	"100051192"	
	<wordnet_repatriation_100051385>	<hasSynsetId>	"100051385"	
	<wordnet_penetration_100051525>	<hasSynsetId>	"100051525"	
	<wordnet_interpenetration_100051712>	<hasSynsetId>	"100051712"	
	<wordnet_market_penetration_100051897>	<hasSynsetId>	"100051897"	
	<wordnet_anchorage_100052052>	<hasSynsetId>	"100052052"	
	<wordnet_docking_100052146>	<hasSynsetId>	"100052146"	
	<wordnet_landing_100052334>	<hasSynsetId>	"100052334"	
	<wordnet_landing_100052500>	<hasSynsetId>	"100052500"	
	<wordnet_forced_landing_100052791>	<hasSynsetId>	"100052791"	
	<wordnet_breaking_away_100053020>	<hasSynsetId>	"100053020"	
	<wordnet_farewell_100053097>	<hasSynsetId>	"100053097"	
	<wordnet_valediction_100053525>	<hasSynsetId>	"100053525"	
	<wordnet_disappearance_100053609>	<hasSynsetId>	"100053609"	
	<wordnet_vanishing_100053806>	<hasSynsetId>	"100053806"	
	<wordnet_withdrawal_100053913>	<hasSynsetId>	"100053913"	
	<wordnet_effacement_100054328>	<hasSynsetId>	"100054328"	
	<wordnet_retreat_100054483>	<hasSynsetId>	"100054483"	
	<wordnet_retirement_100054652>	<hasSynsetId>	"100054652"	
	<wordnet_evacuation_100054821>	<hasSynsetId>	"100054821"	
	<wordnet_medical_evacuation_100055038>	<hasSynsetId>	"100055038"	
	<wordnet_decampment_100055227>	<hasSynsetId>	"100055227"	
	<wordnet_desertion_100055315>	<hasSynsetId>	"100055315"	
	<wordnet_abscondment_100055633>	<hasSynsetId>	"100055633"	
	<wordnet_absence_without_leave_100055793>	<hasSynsetId>	"100055793"	
	<wordnet_deviationism_100055932>	<hasSynsetId>	"100055932"	
	<wordnet_emigration_100056087>	<hasSynsetId>	"100056087"	
	<wordnet_immigration_100056311>	<hasSynsetId>	"100056311"	
	<wordnet_aliyah_100056551>	<hasSynsetId>	"100056551"	
	<wordnet_pullback_100056688>	<hasSynsetId>	"100056688"	
	<wordnet_retreat_100056912>	<hasSynsetId>	"100056912"	
	<wordnet_standdown_100057162>	<hasSynsetId>	"100057162"	
	<wordnet_disengagement_100057306>	<hasSynsetId>	"100057306"	
	<wordnet_receding_100057486>	<hasSynsetId>	"100057486"	
	<wordnet_sailing_100057657>	<hasSynsetId>	"100057657"	
	<wordnet_amphibious_landing_100057748>	<hasSynsetId>	"100057748"	
	<wordnet_debarkation_100058002>	<hasSynsetId>	"100058002"	
	<wordnet_going_ashore_100058247>	<hasSynsetId>	"100058247"	
	<wordnet_boarding_100058337>	<hasSynsetId>	"100058337"	
	<wordnet_exit_100058519>	<hasSynsetId>	"100058519"	
	<wordnet_elopement_100058608>	<hasSynsetId>	"100058608"	
	<wordnet_escape_100058743>	<hasSynsetId>	"100058743"	
	<wordnet_evasion_100059127>	<hasSynsetId>	"100059127"	
	<wordnet_slip_100059376>	<hasSynsetId>	"100059376"	
	<wordnet_maneuver_100059552>	<hasSynsetId>	"100059552"	
	<wordnet_clinch_100059728>	<hasSynsetId>	"100059728"	
	<wordnet_dodge_100059895>	<hasSynsetId>	"100059895"	
	<wordnet_break_100059989>	<hasSynsetId>	"100059989"	
	<wordnet_getaway_100060201>	<hasSynsetId>	"100060201"	
	<wordnet_exodus_100060414>	<hasSynsetId>	"100060414"	
	<wordnet_skedaddle_100060747>	<hasSynsetId>	"100060747"	
	<wordnet_close_call_100061014>	<hasSynsetId>	"100061014"	
	<wordnet_surfacing_100061171>	<hasSynsetId>	"100061171"	
	<wordnet_dispatch_100061290>	<hasSynsetId>	"100061290"	
	<wordnet_reshipment_100061453>	<hasSynsetId>	"100061453"	
	<wordnet_consummation_100061598>	<hasSynsetId>	"100061598"	
	<wordnet_consummation_100061792>	<hasSynsetId>	"100061792"	
	<wordnet_realization_100061917>	<hasSynsetId>	"100061917"	
	<wordnet_orgasm_100062133>	<hasSynsetId>	"100062133"	
	<wordnet_male_orgasm_100062331>	<hasSynsetId>	"100062331"	
	<wordnet_fulfillment_100062451>	<hasSynsetId>	"100062451"	
	<wordnet_self-fulfillment_100062671>	<hasSynsetId>	"100062671"	
	<wordnet_attainment_100062806>	<hasSynsetId>	"100062806"	
	<wordnet_record_100063014>	<hasSynsetId>	"100063014"	
	<wordnet_track_record_100063310>	<hasSynsetId>	"100063310"	
	<wordnet_world_record_100063559>	<hasSynsetId>	"100063559"	
	<wordnet_success_100063652>	<hasSynsetId>	"100063652"	
	<wordnet_winning_100064018>	<hasSynsetId>	"100064018"	
	<wordnet_blockbuster_100064151>	<hasSynsetId>	"100064151"	
	<wordnet_sleeper_100064370>	<hasSynsetId>	"100064370"	
	<wordnet_hit_100064504>	<hasSynsetId>	"100064504"	
	<wordnet_bell_ringer_100064789>	<hasSynsetId>	"100064789"	
	<wordnet_ennoblement_100065098>	<hasSynsetId>	"100065098"	
	<wordnet_conquest_100065216>	<hasSynsetId>	"100065216"	
	<wordnet_coup_100065336>	<hasSynsetId>	"100065336"	
	<wordnet_flying_colors_100065418>	<hasSynsetId>	"100065418"	
	<wordnet_passing_100065575>	<hasSynsetId>	"100065575"	
	<wordnet_credit_100065855>	<hasSynsetId>	"100065855"	
	<wordnet_semester_hour_100066075>	<hasSynsetId>	"100066075"	
	<wordnet_nonaccomplishment_100066216>	<hasSynsetId>	"100066216"	
	<wordnet_failure_100066397>	<hasSynsetId>	"100066397"	
	<wordnet_failure_100066636>	<hasSynsetId>	"100066636"	
	<wordnet_failing_100066901>	<hasSynsetId>	"100066901"	
	<wordnet_naught_100067153>	<hasSynsetId>	"100067153"	
	<wordnet_cut_100067254>	<hasSynsetId>	"100067254"	
	<wordnet_default_100067397>	<hasSynsetId>	"100067397"	
	<wordnet_loss_100067526>	<hasSynsetId>	"100067526"	
	<wordnet_capitulation_100067707>	<hasSynsetId>	"100067707"	
	<wordnet_frustration_100067990>	<hasSynsetId>	"100067990"	
	<wordnet_overturn_100068170>	<hasSynsetId>	"100068170"	
	<wordnet_backsliding_100068333>	<hasSynsetId>	"100068333"	
	<wordnet_recidivism_100068617>	<hasSynsetId>	"100068617"	
	<wordnet_disappointment_100068755>	<hasSynsetId>	"100068755"	
	<wordnet_breach_100068901>	<hasSynsetId>	"100068901"	
	<wordnet_copout_100069060>	<hasSynsetId>	"100069060"	
	<wordnet_breach_of_contract_100069173>	<hasSynsetId>	"100069173"	
	<wordnet_anticipatory_breach_100069444>	<hasSynsetId>	"100069444"	
	<wordnet_breach_of_duty_100069604>	<hasSynsetId>	"100069604"	
	<wordnet_breach_of_the_covenant_of_warranty_100069685>	<hasSynsetId>	"100069685"	
	<wordnet_breach_of_promise_100069815>	<hasSynsetId>	"100069815"	
	<wordnet_breach_of_trust_100069918>	<hasSynsetId>	"100069918"	
	<wordnet_breach_of_trust_with_fraudulent_intent_100070077>	<hasSynsetId>	"100070077"	
	<wordnet_breach_of_warranty_100070215>	<hasSynsetId>	"100070215"	
	<wordnet_leaning_100070363>	<hasSynsetId>	"100070363"	
	<wordnet_material_breach_100070462>	<hasSynsetId>	"100070462"	
	<wordnet_motivation_100070641>	<hasSynsetId>	"100070641"	
	<wordnet_partial_breach_100070807>	<hasSynsetId>	"100070807"	
	<wordnet_mistake_100070965>	<hasSynsetId>	"100070965"	
	<wordnet_double_fault_100071546>	<hasSynsetId>	"100071546"	
	<wordnet_footfault_100071700>	<hasSynsetId>	"100071700"	
	<wordnet_bobble_100071864>	<hasSynsetId>	"100071864"	
	<wordnet_error_100072068>	<hasSynsetId>	"100072068"	
	<wordnet_blot_100072261>	<hasSynsetId>	"100072261"	
	<wordnet_confusion_100072473>	<hasSynsetId>	"100072473"	
	<wordnet_incursion_100072691>	<hasSynsetId>	"100072691"	
	<wordnet_miscalculation_100072808>	<hasSynsetId>	"100072808"	
	<wordnet_backfire_100073032>	<hasSynsetId>	"100073032"	
	<wordnet_rounding_100073177>	<hasSynsetId>	"100073177"	
	<wordnet_truncation_error_100073525>	<hasSynsetId>	"100073525"	
	<wordnet_distortion_100073713>	<hasSynsetId>	"100073713"	
	<wordnet_slip_100073828>	<hasSynsetId>	"100073828"	
	<wordnet_offside_100074324>	<hasSynsetId>	"100074324"	
	<wordnet_oversight_100074524>	<hasSynsetId>	"100074524"	
	<wordnet_omission_100074624>	<hasSynsetId>	"100074624"	
	<wordnet_blunder_100074790>	<hasSynsetId>	"100074790"	
	<wordnet_snafu_100075283>	<hasSynsetId>	"100075283"	
	<wordnet_spectacle_100075471>	<hasSynsetId>	"100075471"	
	<wordnet_ballup_100075618>	<hasSynsetId>	"100075618"	
	<wordnet_bull_100075790>	<hasSynsetId>	"100075790"	
	<wordnet_fumble_100075912>	<hasSynsetId>	"100075912"	
	<wordnet_fluff_100076072>	<hasSynsetId>	"100076072"	
	<wordnet_faux_pas_100076196>	<hasSynsetId>	"100076196"	
	<wordnet_howler_100076323>	<hasSynsetId>	"100076323"	
	<wordnet_clanger_100076393>	<hasSynsetId>	"100076393"	
	<wordnet_trip_100076563>	<hasSynsetId>	"100076563"	
	<wordnet_spill_100076884>	<hasSynsetId>	"100076884"	
	<wordnet_pratfall_100077169>	<hasSynsetId>	"100077169"	
	<wordnet_wipeout_100077249>	<hasSynsetId>	"100077249"	
	<wordnet_acquisition_100077419>	<hasSynsetId>	"100077419"	
	<wordnet_obtainment_100077856>	<hasSynsetId>	"100077856"	
	<wordnet_catching_100077981>	<hasSynsetId>	"100077981"	
	<wordnet_incurring_100078217>	<hasSynsetId>	"100078217"	
	<wordnet_moneymaking_100078393>	<hasSynsetId>	"100078393"	
	<wordnet_annexation_100078536>	<hasSynsetId>	"100078536"	
	<wordnet_pork-barreling_100078821>	<hasSynsetId>	"100078821"	
	<wordnet_purchase_100079018>	<hasSynsetId>	"100079018"	
	<wordnet_redemption_100079212>	<hasSynsetId>	"100079212"	
	<wordnet_trading_100079398>	<hasSynsetId>	"100079398"	
	<wordnet_bond_trading_100079603>	<hasSynsetId>	"100079603"	
	<wordnet_program_trading_100079752>	<hasSynsetId>	"100079752"	
	<wordnet_short_sale_100079908>	<hasSynsetId>	"100079908"	
	<wordnet_short_covering_100080096>	<hasSynsetId>	"100080096"	
	<wordnet_insider_trading_100080242>	<hasSynsetId>	"100080242"	
	<wordnet_naked_option_100080474>	<hasSynsetId>	"100080474"	
	<wordnet_covered_option_100080619>	<hasSynsetId>	"100080619"	
	<wordnet_call_option_100080743>	<hasSynsetId>	"100080743"	
	<wordnet_put_option_100080968>	<hasSynsetId>	"100080968"	
	<wordnet_straddle_100081174>	<hasSynsetId>	"100081174"	
	<wordnet_incentive_option_100081395>	<hasSynsetId>	"100081395"	
	<wordnet_buying_100081572>	<hasSynsetId>	"100081572"	
	<wordnet_shopping_100081836>	<hasSynsetId>	"100081836"	
	<wordnet_marketing_100082081>	<hasSynsetId>	"100082081"	
	<wordnet_mail-order_buying_100082223>	<hasSynsetId>	"100082223"	
	<wordnet_viatication_100082347>	<hasSynsetId>	"100082347"	
	<wordnet_acceptance_100082525>	<hasSynsetId>	"100082525"	
	<wordnet_succession_100082754>	<hasSynsetId>	"100082754"	
	<wordnet_assumption_100082870>	<hasSynsetId>	"100082870"	
	<wordnet_assumption_100083260>	<hasSynsetId>	"100083260"	
	<wordnet_position_100083448>	<hasSynsetId>	"100083448"	
	<wordnet_inheritance_100083585>	<hasSynsetId>	"100083585"	
	<wordnet_procurement_100083729>	<hasSynsetId>	"100083729"	
	<wordnet_appropriation_100083975>	<hasSynsetId>	"100083975"	
	<wordnet_borrowing_100084371>	<hasSynsetId>	"100084371"	
	<wordnet_naturalization_100084642>	<hasSynsetId>	"100084642"	
	<wordnet_misappropriation_100084895>	<hasSynsetId>	"100084895"	
	<wordnet_preemption_100085041>	<hasSynsetId>	"100085041"	
	<wordnet_seizure_100085219>	<hasSynsetId>	"100085219"	
	<wordnet_usurpation_100085432>	<hasSynsetId>	"100085432"	
	<wordnet_confiscation_100085678>	<hasSynsetId>	"100085678"	
	<wordnet_distress_100085829>	<hasSynsetId>	"100085829"	
	<wordnet_expropriation_100086140>	<hasSynsetId>	"100086140"	
	<wordnet_impoundment_100086297>	<hasSynsetId>	"100086297"	
	<wordnet_drug_bust_100086547>	<hasSynsetId>	"100086547"	
	<wordnet_impress_100086654>	<hasSynsetId>	"100086654"	
	<wordnet_occupation_100086809>	<hasSynsetId>	"100086809"	
	<wordnet_preoccupancy_100087073>	<hasSynsetId>	"100087073"	
	<wordnet_sequestration_100087218>	<hasSynsetId>	"100087218"	
	<wordnet_grant_100087423>	<hasSynsetId>	"100087423"	
	<wordnet_award_100087663>	<hasSynsetId>	"100087663"	
	<wordnet_addiction_100087849>	<hasSynsetId>	"100087849"	
	<wordnet_block_grant_100088154>	<hasSynsetId>	"100088154"	
	<wordnet_grant-in-aid_100088367>	<hasSynsetId>	"100088367"	
	<wordnet_capture_100088481>	<hasSynsetId>	"100088481"	
	<wordnet_apprehension_100088725>	<hasSynsetId>	"100088725"	
	<wordnet_conquest_100089027>	<hasSynsetId>	"100089027"	
	<wordnet_enslavement_100089234>	<hasSynsetId>	"100089234"	
	<wordnet_restitution_100089351>	<hasSynsetId>	"100089351"	
	<wordnet_clawback_100089657>	<hasSynsetId>	"100089657"	
	<wordnet_repossession_100089891>	<hasSynsetId>	"100089891"	
	<wordnet_foreclosure_100090076>	<hasSynsetId>	"100090076"	
	<wordnet_reception_100090253>	<hasSynsetId>	"100090253"	
	<wordnet_appointment_100090393>	<hasSynsetId>	"100090393"	
	<wordnet_comb-out_100090610>	<hasSynsetId>	"100090610"	
	<wordnet_giving_100090779>	<hasSynsetId>	"100090779"	
	<wordnet_abandonment_100091013>	<hasSynsetId>	"100091013"	
	<wordnet_discard_100091234>	<hasSynsetId>	"100091234"	
	<wordnet_staging_100091404>	<hasSynsetId>	"100091404"	
	<wordnet_discard_100091503>	<hasSynsetId>	"100091503"	
	<wordnet_mine_disposal_100091670>	<hasSynsetId>	"100091670"	
	<wordnet_minesweeping_100091779>	<hasSynsetId>	"100091779"	
	<wordnet_sewage_disposal_100091893>	<hasSynsetId>	"100091893"	
	<wordnet_bait_and_switch_100091977>	<hasSynsetId>	"100091977"	
	<wordnet_private_treaty_100092212>	<hasSynsetId>	"100092212"	
	<wordnet_auction_100092366>	<hasSynsetId>	"100092366"	
	<wordnet_bootlegging_100092663>	<hasSynsetId>	"100092663"	
	<wordnet_bootlegging_100092847>	<hasSynsetId>	"100092847"	
	<wordnet_capitalization_100093006>	<hasSynsetId>	"100093006"	
	<wordnet_overcapitalization_100093127>	<hasSynsetId>	"100093127"	
	<wordnet_reclamation_100093354>	<hasSynsetId>	"100093354"	
	<wordnet_rescue_100093483>	<hasSynsetId>	"100093483"	
	<wordnet_lifesaving_100093874>	<hasSynsetId>	"100093874"	
	<wordnet_redemption_100094001>	<hasSynsetId>	"100094001"	
	<wordnet_absolution_100094240>	<hasSynsetId>	"100094240"	
	<wordnet_indulgence_100094500>	<hasSynsetId>	"100094500"	
	<wordnet_conversion_100094788>	<hasSynsetId>	"100094788"	
	<wordnet_proselytism_100094954>	<hasSynsetId>	"100094954"	
	<wordnet_expiation_100095121>	<hasSynsetId>	"100095121"	
	<wordnet_reparation_100095329>	<hasSynsetId>	"100095329"	
	<wordnet_liberation_100095502>	<hasSynsetId>	"100095502"	
	<wordnet_jail_delivery_100095873>	<hasSynsetId>	"100095873"	
	<wordnet_reclamation_100095971>	<hasSynsetId>	"100095971"	
	<wordnet_salvage_100096211>	<hasSynsetId>	"100096211"	
	<wordnet_salvage_100096343>	<hasSynsetId>	"100096343"	
	<wordnet_salvation_100096513>	<hasSynsetId>	"100096513"	
	<wordnet_search_and_rescue_mission_100096720>	<hasSynsetId>	"100096720"	
	<wordnet_ransom_100096851>	<hasSynsetId>	"100096851"	
	<wordnet_recapture_100096969>	<hasSynsetId>	"100096969"	
	<wordnet_recapture_100097122>	<hasSynsetId>	"100097122"	
	<wordnet_invocation_100097244>	<hasSynsetId>	"100097244"	
	<wordnet_instrumentation_100097348>	<hasSynsetId>	"100097348"	
	<wordnet_performance_100097504>	<hasSynsetId>	"100097504"	
	<wordnet_specific_performance_100097923>	<hasSynsetId>	"100097923"	
	<wordnet_linguistic_performance_100098051>	<hasSynsetId>	"100098051"	
	<wordnet_mechanism_100098385>	<hasSynsetId>	"100098385"	
	<wordnet_service_100098625>	<hasSynsetId>	"100098625"	
	<wordnet_curb_service_100098822>	<hasSynsetId>	"100098822"	
	<wordnet_self-service_100098939>	<hasSynsetId>	"100098939"	
	<wordnet_valet_parking_100099061>	<hasSynsetId>	"100099061"	
	<wordnet_dramatic_production_100099267>	<hasSynsetId>	"100099267"	
	<wordnet_encore_100099439>	<hasSynsetId>	"100099439"	
	<wordnet_extemporization_100099588>	<hasSynsetId>	"100099588"	
	<wordnet_juggle_100099799>	<hasSynsetId>	"100099799"	
	<wordnet_magic_trick_100099951>	<hasSynsetId>	"100099951"	
	<wordnet_musical_performance_100100253>	<hasSynsetId>	"100100253"	
	<wordnet_one-night_stand_100100437>	<hasSynsetId>	"100100437"	
	<wordnet_rendition_100100543>	<hasSynsetId>	"100100543"	
	<wordnet_reinterpretation_100100889>	<hasSynsetId>	"100100889"	
	<wordnet_spin_100101003>	<hasSynsetId>	"100101003"	
	<wordnet_playing_100101191>	<hasSynsetId>	"100101191"	
	<wordnet_bowing_100101410>	<hasSynsetId>	"100101410"	
	<wordnet_spiccato_100101570>	<hasSynsetId>	"100101570"	
	<wordnet_piping_100101708>	<hasSynsetId>	"100101708"	
	<wordnet_stopping_100101809>	<hasSynsetId>	"100101809"	
	<wordnet_double_stopping_100102039>	<hasSynsetId>	"100102039"	
	<wordnet_transposition_100102162>	<hasSynsetId>	"100102162"	
	<wordnet_jam_session_100102374>	<hasSynsetId>	"100102374"	
	<wordnet_automation_100102457>	<hasSynsetId>	"100102457"	
	<wordnet_computerization_100102779>	<hasSynsetId>	"100102779"	
	<wordnet_motorization_100102927>	<hasSynsetId>	"100102927"	
	<wordnet_launching_100103140>	<hasSynsetId>	"100103140"	
	<wordnet_launching_100103291>	<hasSynsetId>	"100103291"	
	<wordnet_rocket_firing_100103419>	<hasSynsetId>	"100103419"	
	<wordnet_blastoff_100103590>	<hasSynsetId>	"100103590"	
	<wordnet_moon_shot_100103737>	<hasSynsetId>	"100103737"	
	<wordnet_drive_100103834>	<hasSynsetId>	"100103834"	
	<wordnet_firewall_100104088>	<hasSynsetId>	"100104088"	
	<wordnet_impulse_100104249>	<hasSynsetId>	"100104249"	
	<wordnet_roll_100104409>	<hasSynsetId>	"100104409"	
	<wordnet_throw_100104539>	<hasSynsetId>	"100104539"	
	<wordnet_bowling_100104976>	<hasSynsetId>	"100104976"	
	<wordnet_fling_100105164>	<hasSynsetId>	"100105164"	
